"filename", "language", "SCSS", "JavaScript", "XML", "Vue", "CSS", "comment", "blank", "total"
"/Users/mac/Documents/projects/Syncio/FE-app-3.0/src/theme/theme-light.css", "CSS", 0, 0, 0, 0, 1, 0, 1, 2
"/Users/mac/Documents/projects/Syncio/FE-app-3.0/src/views/accountSettings/AccountSettingsView.vue", "Vue", 0, 0, 0, 113, 0, 27, 15, 155
"/Users/mac/Documents/projects/Syncio/FE-app-3.0/src/views/activityCenter/ActivityCenterView.vue", "Vue", 0, 0, 0, 51, 0, 0, 11, 62
"/Users/mac/Documents/projects/Syncio/FE-app-3.0/src/views/activityCenter/components/EmptyTable.vue", "Vue", 0, 0, 0, 13, 0, 0, 2, 15
"/Users/mac/Documents/projects/Syncio/FE-app-3.0/src/views/activityCenter/components/GeneralUpdates/GeneralUpdates.vue", "Vue", 0, 0, 0, 66, 0, 0, 12, 78
"/Users/mac/Documents/projects/Syncio/FE-app-3.0/src/views/activityCenter/components/GeneralUpdates/GeneralUpdatesHeader.vue", "Vue", 0, 0, 0, 40, 0, 0, 6, 46
"/Users/mac/Documents/projects/Syncio/FE-app-3.0/src/views/activityCenter/components/GeneralUpdates/GeneralUpdatesSkeleton.vue", "Vue", 0, 0, 0, 39, 0, 0, 7, 46
"/Users/mac/Documents/projects/Syncio/FE-app-3.0/src/views/activityCenter/components/OrderIssues/OrderIssues.vue", "Vue", 0, 0, 0, 85, 0, 0, 14, 99
"/Users/mac/Documents/projects/Syncio/FE-app-3.0/src/views/activityCenter/components/OrderIssues/OrderIssuesHeader.vue", "Vue", 0, 0, 0, 50, 0, 0, 7, 57
"/Users/mac/Documents/projects/Syncio/FE-app-3.0/src/views/activityCenter/components/OrderIssues/OrderIssuesSkeleton.vue", "Vue", 0, 0, 0, 41, 0, 0, 7, 48
"/Users/mac/Documents/projects/Syncio/FE-app-3.0/src/views/activityCenter/components/ProductIssues/ProductIssues.vue", "Vue", 0, 0, 0, 90, 0, 0, 14, 104
"/Users/mac/Documents/projects/Syncio/FE-app-3.0/src/views/activityCenter/components/ProductIssues/ProductIssuesHeader.vue", "Vue", 0, 0, 0, 50, 0, 0, 7, 57
"/Users/mac/Documents/projects/Syncio/FE-app-3.0/src/views/activityCenter/components/ProductIssues/ProductIssuesSkeleton.vue", "Vue", 0, 0, 0, 48, 0, 0, 7, 55
"/Users/mac/Documents/projects/Syncio/FE-app-3.0/src/views/activityCenter/composables/activities.js", "JavaScript", 0, 14, 0, 0, 0, 0, 4, 18
"/Users/mac/Documents/projects/Syncio/FE-app-3.0/src/views/connections/Connections.vue", "Vue", 0, 0, 0, 90, 0, 0, 14, 104
"/Users/mac/Documents/projects/Syncio/FE-app-3.0/src/views/connections/ConnectionsView.vue", "Vue", 0, 0, 0, 89, 0, 0, 13, 102
"/Users/mac/Documents/projects/Syncio/FE-app-3.0/src/views/connections/ConnectionsViewHeader.vue", "Vue", 0, 0, 0, 48, 0, 0, 4, 52
"/Users/mac/Documents/projects/Syncio/FE-app-3.0/src/views/connections/ConnectionsViewSkeleton.vue", "Vue", 0, 0, 0, 40, 0, 0, 7, 47
"/Users/mac/Documents/projects/Syncio/FE-app-3.0/src/views/connections/components/connect/ConnectNewStoreDialog.vue", "Vue", 0, 0, 0, 132, 0, 0, 14, 146
"/Users/mac/Documents/projects/Syncio/FE-app-3.0/src/views/connections/components/disconnect/DisconnectAndDeleteDialog.vue", "Vue", 0, 0, 0, 48, 0, 0, 7, 55
"/Users/mac/Documents/projects/Syncio/FE-app-3.0/src/views/connections/components/disconnect/DisconnectAndKeepDialog.vue", "Vue", 0, 0, 0, 44, 0, 0, 6, 50
"/Users/mac/Documents/projects/Syncio/FE-app-3.0/src/views/connections/components/disconnect/DisconnectDialog.vue", "Vue", 0, 0, 0, 59, 0, 0, 9, 68
"/Users/mac/Documents/projects/Syncio/FE-app-3.0/src/views/connections/components/multiLocation/DestinationLocationDropdown.vue", "Vue", 0, 0, 0, 66, 0, 0, 12, 78
"/Users/mac/Documents/projects/Syncio/FE-app-3.0/src/views/connections/components/multiLocation/DisableMultilocationDialog.vue", "Vue", 0, 0, 0, 42, 0, 0, 5, 47
"/Users/mac/Documents/projects/Syncio/FE-app-3.0/src/views/connections/components/multiLocation/LocationChangeConfirmationDialog.vue", "Vue", 0, 0, 0, 48, 0, 0, 5, 53
"/Users/mac/Documents/projects/Syncio/FE-app-3.0/src/views/connections/components/multiLocation/LocationChangedDialog.vue", "Vue", 0, 0, 0, 37, 0, 0, 4, 41
"/Users/mac/Documents/projects/Syncio/FE-app-3.0/src/views/connections/components/multiLocation/LocationPendingDialog.vue", "Vue", 0, 0, 0, 46, 0, 0, 7, 53
"/Users/mac/Documents/projects/Syncio/FE-app-3.0/src/views/connections/components/multiLocation/SourceInventoryDropdown.vue", "Vue", 0, 0, 0, 62, 0, 0, 12, 74
"/Users/mac/Documents/projects/Syncio/FE-app-3.0/src/views/connections/composables/connections.js", "JavaScript", 0, 56, 0, 0, 0, 0, 9, 65
"/Users/mac/Documents/projects/Syncio/FE-app-3.0/src/views/dashboard/DashboardView.vue", "Vue", 0, 0, 0, 27, 0, 0, 6, 33
"/Users/mac/Documents/projects/Syncio/FE-app-3.0/src/views/dashboard/components/DashboardLeft.vue", "Vue", 0, 0, 0, 62, 0, 0, 11, 73
"/Users/mac/Documents/projects/Syncio/FE-app-3.0/src/views/dashboard/components/DashboardRight.vue", "Vue", 0, 0, 0, 116, 0, 0, 8, 124
"/Users/mac/Documents/projects/Syncio/FE-app-3.0/src/views/login/LoginView.vue", "Vue", 0, 0, 0, 109, 0, 0, 13, 122
"/Users/mac/Documents/projects/Syncio/FE-app-3.0/src/views/marketplace/MarketplaceView.vue", "Vue", 0, 0, 0, 54, 0, 0, 8, 62
"/Users/mac/Documents/projects/Syncio/FE-app-3.0/src/views/marketplace/components/Filters.vue", "Vue", 0, 0, 0, 74, 0, 0, 9, 83
